INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
231133996,7/20/2021,15:55:00,MANHATTAN,25,0,,FALSE,25-44,M,BLACK,45-64,F,BLACK HISPANIC,1001711,232583,40.80505349,-73.93692979
233790861,9/18/2021,22:35:00,BRONX,47,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,1027934,259273,40.87821891,-73.8420348
234396484,10/1/2021,21:48:00,BROOKLYN,73,0,,FALSE,,,,<18,M,BLACK,1007593,183624,40.67065964,-73.91585304
237152656,11/30/2021,15:30:00,BRONX,45,0,,FALSE,,,,<18,M,WHITE HISPANIC,1027350,245455,40.84029557,-73.84423546
227384910,4/26/2021,22:56:00,BRONX,44,0,,FALSE,,,,18-24,M,BLACK,1008187,241345,40.82908755,-73.9135063
223782357,1/30/2021,20:00:00,MANHATTAN,32,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,999042,235844,40.8140089,-73.94656342
232072689,8/10/2021,5:48:00,BROOKLYN,83,0,,FALSE,<18,M,BLACK,18-24,M,BLACK,1007662,193988,40.69910627,-73.91556829
231633889,7/30/2021,23:56:00,BRONX,42,0,,FALSE,25-44,M,WHITE HISPANIC,UNKNOWN,M,WHITE,1012880,241536,40.82959782,-73.89654758
233626999,9/15/2021,23:21:00,BRONX,47,0,,FALSE,45-64,M,BLACK,45-64,M,BLACK,1022219,262412,40.88686091,-73.86268311
225295736,3/7/2021,6:15:00,BROOKLYN,75,0,,FALSE,25-44,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1020492,187865,40.68225682,-73.86933111
233147096,9/3/2021,23:24:00,BRONX,52,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1010435,252973,40.8609966,-73.90533787
231866065,8/5/2021,23:30:00,BROOKLYN,73,0,,FALSE,,,,18-24,M,BLACK,1010873,178565,40.65676456,-73.90404906
224119135,2/8/2021,14:39:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,999816,176837,40.65204792,-73.94390374
228425700,5/19/2021,22:35:00,BROOKLYN,67,0,BAR/NIGHT CLUB,TRUE,,,,25-44,M,BLACK,998911,176430,40.65093233,-73.94716612
230311080,7/1/2021,13:50:00,MANHATTAN,30,0,,FALSE,<18,M,BLACK,25-44,M,BLACK,996959,237594,40.81881541,-73.95408521
227647466,5/1/2021,2:30:00,BRONX,48,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1013374,246264,40.84257319,-73.89474199
236837324,11/21/2021,21:15:00,BROOKLYN,79,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1000422,192120,40.69399523,-73.94168314
238312741,12/26/2021,22:20:00,QUEENS,103,0,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,1041521,192400,40.69459324,-73.79347285
229863862,6/21/2021,20:09:00,BRONX,42,0,,FALSE,,,,18-24,M,BLACK,1012839,242402,40.83197487,-73.89669204
229224142,6/7/2021,19:55:00,QUEENS,113,0,,TRUE,,,,45-64,M,BLACK,1042534,184647,40.67330647,-73.78988688
228865039,5/28/2021,2:15:00,MANHATTAN,34,0,,FALSE,,,,18-24,M,BLACK HISPANIC,1005250,254388,40.8648942,-73.92407815
226321041,3/30/2021,2:25:00,BRONX,44,0,,FALSE,18-24,M,BLACK,<18,M,BLACK,1004227,237572,40.81874158,-73.92782679
234756219,10/9/2021,16:24:00,MANHATTAN,28,0,,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,996795,233168,40.8066675,-73.954686
231789565,8/4/2021,1:00:00,BRONX,46,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK HISPANIC,1008176,249832,40.85238191,-73.91351577
224228316,2/10/2021,2:01:00,BROOKLYN,76,0,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK HISPANIC,982236,185404,40.67557589,-74.00726218
227950650,5/6/2021,23:28:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,<18,M,BLACK,1010706,243782,40.83576922,-73.90439442
238104586,12/20/2021,20:28:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,F,BLACK,45-64,M,BLACK,1001752,241629,40.82988214,-73.9367581
227089752,4/17/2021,22:20:00,BRONX,40,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1009583,231095,40.80095028,-73.90850061
231005016,7/17/2021,0:25:00,BROOKLYN,83,0,,FALSE,,,,25-44,M,BLACK,1009333,191223,40.69151241,-73.90955229
237718487,12/12/2021,1:20:00,QUEENS,113,0,,FALSE,,,,25-44,F,BLACK,1049993,193207,40.69674938,-73.76291369
233253728,9/6/2021,19:52:00,BRONX,49,0,,FALSE,,,,18-24,M,BLACK,1025607,255397,40.8675917,-73.85047342
228630236,5/24/2021,0:45:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK HISPANIC,1001250,237934,40.81974139,-73.93858143
227344206,4/24/2021,1:00:00,QUEENS,110,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1028240,216107,40.75973906,-73.84121122
230717903,7/11/2021,1:09:00,BROOKLYN,79,0,,FALSE,<18,F,WHITE HISPANIC,25-44,M,BLACK,996546,187436,40.68114496,-73.95566904
236012363,11/7/2021,1:33:00,BROOKLYN,71,0,,FALSE,,,,25-44,M,BLACK,998778,179715,40.65994916,-73.94763835
232291905,8/15/2021,22:55:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1050524,184722,40.67345611,-73.76108223
225779049,3/17/2021,22:09:00,BRONX,52,0,MULTI DWELL - APT BUILD,TRUE,18-24,F,BLACK,18-24,F,WHITE HISPANIC,1019141,259102,40.87778871,-73.8738322
228307052,5/17/2021,0:43:00,BROOKLYN,67,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1007218,176225,40.65035201,-73.91723006
231658948,8/1/2021,4:49:00,BROOKLYN,77,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1003427,183920,40.6714821,-73.93087006
234756599,10/10/2021,4:17:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK,1006026,185469,40.67572775,-73.9214959
230162217,6/27/2021,18:50:00,MANHATTAN,32,0,,TRUE,18-24,M,BLACK,18-24,M,BLACK,1000756,236127,40.81478262,-73.94037067
235740736,10/30/2021,23:56:00,BRONX,45,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK HISPANIC,25-44,M,BLACK,1032218,239444,40.82377203,-73.82668524
223505524,1/24/2021,15:34:00,BRONX,52,0,MULTI DWELL - APT BUILD,FALSE,<18,M,BLACK HISPANIC,25-44,M,BLACK,1010327,253958,40.86370045,-73.90572447
237218216,12/1/2021,15:19:00,BROOKLYN,75,0,,FALSE,,,,<18,M,WHITE HISPANIC,1019860,189120,40.68570407,-73.87160315
227344209,4/24/2021,19:08:00,BRONX,49,0,,FALSE,,,,25-44,M,BLACK,1027324,255713,40.86845081,-73.84426352
236362254,11/16/2021,20:35:00,QUEENS,108,0,,FALSE,,,,18-24,M,BLACK,1004907,204305,40.72743083,-73.92547228
226803364,4/9/2021,0:15:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,FALSE,,,,<18,M,BLACK,1013807,180663,40.6625138,-73.8934654
235941692,11/6/2021,0:15:00,BRONX,41,0,,TRUE,,,,25-44,M,BLACK,1012789,238610,40.82156708,-73.89688885
225620487,3/13/2021,0:56:00,QUEENS,105,0,,TRUE,,,,18-24,M,BLACK,1057766,200401,40.71643397,-73.73480369
234433698,10/3/2021,2:21:00,BRONX,45,0,,FALSE,18-24,F,BLACK,<18,M,WHITE HISPANIC,1032251,249593,40.85162787,-73.82649338
225168410,3/4/2021,13:17:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,1007292,238953,40.82252457,-73.91674855
227730194,5/4/2021,23:38:00,BRONX,44,0,,FALSE,,,,<18,M,BLACK,1006857,242197,40.83142954,-73.91830932
238039334,12/18/2021,12:30:00,MANHATTAN,23,0,,FALSE,18-24,M,BLACK,45-64,M,BLACK,998959,227093,40.78998994,-73.94688243
235736470,10/31/2021,2:18:00,BROOKLYN,83,0,,FALSE,,,,18-24,M,ASIAN / PACIFIC ISLANDER,1006821,194383,40.70019263,-73.91859995
228559721,5/22/2021,17:41:00,BRONX,50,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1010272,258954,40.8774131,-73.90590391
223298156,1/12/2021,1:30:00,MANHATTAN,25,0,,FALSE,,,,18-24,M,BLACK,1000229,230967,40.80062082,-73.94228683
237963647,12/16/2021,3:11:00,QUEENS,108,0,,FALSE,18-24,M,WHITE HISPANIC,25-44,M,WHITE,1010869,213852,40.75361902,-73.90392399
224465136,2/16/2021,7:40:00,QUEENS,100,0,,FALSE,,,,25-44,F,BLACK,1037776,153560,40.58800946,-73.80728602
225620485,3/12/2021,20:16:00,QUEENS,114,0,,TRUE,25-44,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,1008461,214709,40.75597819,-73.91261223
230234499,6/29/2021,19:40:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,1000345,230119,40.79829308,-73.94186988
236168668,11/11/2021,15:04:00,BROOKLYN,79,0,,FALSE,,,,18-24,M,BLACK,996313,187499,40.6813182,-73.95650899
229493101,6/11/2021,17:53:00,MANHATTAN,28,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,F,BLACK,997875,230878,40.80038048,-73.95078943
224817400,2/24/2021,14:00:00,MANHATTAN,28,0,COMMERCIAL BLDG,FALSE,,,,25-44,M,BLACK,999297,233439,40.80740742,-73.94564758
238290701,12/24/2021,20:25:00,BRONX,52,0,,FALSE,,,,25-44,M,BLACK,1013734,254081,40.86402732,-73.89340651
222539215,1/1/2021,1:11:00,QUEENS,102,0,HOTEL/MOTEL,TRUE,18-24,M,BLACK,18-24,M,BLACK,1031801,199218,40.71336458,-73.82847652
236403182,11/17/2021,17:06:00,BRONX,47,0,,FALSE,,,,45-64,F,WHITE HISPANIC,1022178,256770,40.87137556,-73.86286333
227950642,5/6/2021,0:14:00,BROOKLYN,73,0,,FALSE,,,,18-24,M,BLACK,1007909,180650,40.66249584,-73.91472434
228258483,5/15/2021,16:07:00,BRONX,49,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,1025633,256717,40.87121457,-73.85037127
234268729,9/29/2021,12:50:00,BRONX,48,0,,FALSE,18-24,M,BLACK,<18,M,BLACK HISPANIC,1016838,250252,40.85350696,-73.8822031
231369852,7/26/2021,5:53:00,BRONX,46,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1012421,252826,40.86058702,-73.89815873
