"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","number"
226542634,"4/5/21","22:15:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","25-44","M","BLACK",990847,192564,40.69522623,-73.97621138,631
235088798,"10/15/21","00:30:00","BROOKLYN",67,0,"",FALSE,"","","","<18","M","BLACK",1005324,178328,40.65612899,-73.92404903,631
227950643,"5/6/21","10:16:00","BROOKLYN",81,0,"GROCERY/BODEGA",FALSE,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",1003512,190814,40.69040438,-73.93054394,631
235906916,"11/4/21","17:59:00","BRONX",50,0,"",FALSE,"25-44","M","BLACK","25-44","F","BLACK HISPANIC",1008944,257887,40.87448833,-73.91070999,701
238004076,"12/17/21","06:21:00","QUEENS",113,0,"PVT HOUSE",TRUE,"","","","25-44","F","BLACK",1043252,187998,40.68249942,-73.78726915,296
234756219,"10/9/21","16:24:00","MANHATTAN",28,0,"",FALSE,"25-44","M","ASIAN / PACIFIC ISLANDER","25-44","M","BLACK",996795,233168,40.8066675,-73.954686,343
236761010,"11/21/21","17:50:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","25-44","M","BLACK",1021009,182983,40.66885471,-73.8674937,631
234928488,"10/13/21","15:01:00","MANHATTAN",32,0,"",FALSE,"25-44","M","BLACK","18-24","M","BLACK",1002098,238549,40.82142772,-73.93551602,343
232887625,"8/28/21","04:09:00","QUEENS",100,0,"",TRUE,"","","","25-44","F","BLACK",1037018,152579,40.58532136,-73.81002278,296
233149851,"9/4/21","20:18:00","MANHATTAN",32,0,"",TRUE,"18-24","M","WHITE HISPANIC","<18","M","BLACK",998593,235938,40.81426765,-73.94818529,343
